cargo;inscricao;Q1;NFDiscur
AN04;1000349;15,000;15,000
AN04;1009607;7,500;7,500
AN04;1009113;6,000;6,000
AN04;1000328;11,500;11,500
AN04;1010440;15,000;15,000
AN04;1003817;21,000;21,000
AN04;1000366;21,500;21,500
AN04;1001730;17,000;17,000
AN04;1007088;10,000;10,000
AN04;1007939;10,500;10,500
AN04;1007567;6,000;6,000
AN04;1002817;17,500;17,500
AN04;1001568;5,000;5,000
AN04;1001899;11,000;11,000
AN04;1009711;2,000;2,000
AN04;1006777;15,000;15,000
AN04;1007909;12,500;12,500
AN04;1007631;13,000;13,000
AN04;1002640;13,500;13,500
AN04;1009342;9,000;9,000
AN04;1007516;16,000;16,000
AN04;1004929;7,000;7,000
AN04;1011105;19,000;19,000
AN04;1011995;16,000;16,000
AN04;1013424;15,500;15,500
AN04;1014144;0,500;0,500
AN04;1000502;6,000;6,000
AN04;1008927;9,000;9,000
AN04;1009798;9,000;9,000
AN04;1013154;12,500;12,500
AN04;1006489;7,000;7,000
AN04;1014109;18,500;18,500
AN04;1000498;21,500;21,500
AN04;1001037;15,000;15,000
AN04;1012790;10,500;10,500
AN04;1007695;3,500;3,500
AN04;1009295;12,500;12,500
AN04;1011133;8,000;8,000
AN04;1010122;16,000;16,000
AN04;1011888;17,000;17,000
AN04;1012040;3,000;3,000
AN04;1001928;13,000;13,000
AN04;1001962;17,500;17,500
AN04;1014886;10,000;10,000
AN04;1004414;8,500;8,500
AN04;1010588;15,000;15,000
AN05;1002608;11,500;11,500
AN05;1011085;7,000;7,000
AN05;1009301;4,000;4,000
AN05;1012759;0,500;0,500
AN05;1001167;12,000;12,000
AN05;1001174;3,000;3,000
AN05;1009280;17,000;17,000
AN05;1014017;12,500;12,500
AN05;1004240;2,000;2,000
AN05;1001350;4,000;4,000
AN05;1013603;8,000;8,000
AN05;1013889;5,000;5,000
AN05;1007191;10,000;10,000
AN05;1005390;19,500;19,500
AN05;1011858;6,000;6,000
AN05;1014869;5,000;5,000
AN05;1000656;2,000;2,000
AN05;1001012;12,000;12,000
AN05;1008059;6,500;6,500
AN05;1011845;12,500;12,500
AN05;1008259;15,000;15,000
AN05;1007876;7,000;7,000
AN05;1011972;25,000;25,000
AN05;1010494;5,000;5,000
AN05;1011419;20,500;20,500
AN05;1012787;0,000;0,000
AN05;1010435;0,000;0,000
AN05;1003516;11,500;11,500
AN05;1002638;4,000;4,000
AN05;1008203;15,000;15,000
AN05;1002411;16,000;16,000
AN05;1000359;18,500;18,500
AN05;1008320;4,000;4,000
AN06;1008846;15,000;15,000
AN06;1000437;15,500;15,500
AN06;1000350;9,000;9,000
AN06;1000237;16,500;16,500
AN06;1005129;10,000;10,000
AN06;1007494;18,000;18,000
AN06;1009104;12,000;12,000
AN06;1001501;16,000;16,000
AN06;1003566;15,000;15,000
AN06;1008847;12,000;12,000
AN06;1005656;16,000;16,000
AN06;1010676;12,000;12,000
AN06;1011859;7,000;7,000
AN06;1006774;15,000;15,000
AN06;1000353;9,000;9,000
AN06;1010741;3,000;3,000
AN06;1013441;10,000;10,000
AN06;1009475;16,000;16,000
AN06;1002320;12,000;12,000
AN06;1003565;16,000;16,000
AN06;1001995;8,000;8,000
AN06;1011550;9,000;9,000
AN06;1004841;18,000;18,000
AN06;1002438;15,000;15,000
AN06;1002787;15,000;15,000
AN06;1007375;8,500;8,500
AN06;1011867;3,000;3,000
AN06;1006026;17,000;17,000
AN06;1008257;7,000;7,000
AN06;1012263;11,000;11,000
AN06;1008752;6,000;6,000
AN06;1011728;23,000;23,000
AN06;1012200;13,000;13,000
AN06;1010111;16,000;16,000
AN06;1004384;8,000;8,000
AN06;1001705;3,000;3,000
AN06;1011908;12,000;12,000
AN06;1013689;7,000;7,000
AN06;1005954;1,000;1,000
AN06;1003585;7,500;7,500
AN06;1001990;11,000;11,000
AN06;1013308;15,000;15,000
AN06;1001469;5,000;5,000
AN06;1002204;22,000;22,000
AN06;1008925;5,000;5,000
AN06;1012371;15,500;15,500
AN06;1010680;12,500;12,500
AN06;1006704;12,500;12,500
AN06;1005068;2,000;2,000
AN06;1009032;9,000;9,000
AN06;1006588;15,000;15,000
AN06;1014810;17,500;17,500
AN06;1011457;21,000;21,000
AN06;1006063;6,500;6,500
AN06;1009396;3,000;3,000
AN06;1012093;6,000;6,000
AN06;1000669;11,500;11,500
AN06;1011752;19,500;19,500
